MetricCategory,MetricSubcategory,MetricType,MetricValue,MetricLabel,match_id
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Rally,Frequency,3.0,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Rally,M004
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Return,Frequency,1.0,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Return,M004
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Serve,Frequency,6.0,Effective_Score_Adv_Second | Effective_Score_Adv_Second_Serve,M004
Shots_By_OutComeGen,Rally_Lost,Frequency,21.0,Shots_By_OutComeGen | Rally_Lost,M004
Shots_By_OutComeGen,Rally_Rally,Frequency,39.0,Shots_By_OutComeGen | Rally_Rally,M004
Shots_By_OutComeGen,Rally_Won,Frequency,12.0,Shots_By_OutComeGen | Rally_Won,M004
Shots_By_OutComeGen,Return_Lost,Frequency,19.0,Shots_By_OutComeGen | Return_Lost,M004
Shots_By_OutComeGen,Return_Rally,Frequency,9.0,Shots_By_OutComeGen | Return_Rally,M004
Shots_By_OutComeGen,Return_Won,Frequency,5.0,Shots_By_OutComeGen | Return_Won,M004
Shots_By_OutComeGen,Serve_Lost,Frequency,15.0,Shots_By_OutComeGen | Serve_Lost,M004
Shots_By_OutComeGen,Serve_Rally,Frequency,24.0,Shots_By_OutComeGen | Serve_Rally,M004
Shots_By_OutComeGen,Serve_Won,Frequency,7.0,Shots_By_OutComeGen | Serve_Won,M004
Shots_By_OutComeGen_First,Rally_Lost,Frequency,18.0,Shots_By_OutComeGen_First | Rally_Lost,M004
Shots_By_OutComeGen_First,Rally_Rally,Frequency,36.0,Shots_By_OutComeGen_First | Rally_Rally,M004
Shots_By_OutComeGen_First,Rally_Won,Frequency,9.0,Shots_By_OutComeGen_First | Rally_Won,M004
Shots_By_OutComeGen_First,Return_Lost,Frequency,16.0,Shots_By_OutComeGen_First | Return_Lost,M004
Shots_By_OutComeGen_First,Return_Rally,Frequency,9.0,Shots_By_OutComeGen_First | Return_Rally,M004
Shots_By_OutComeGen_First,Return_Won,Frequency,4.0,Shots_By_OutComeGen_First | Return_Won,M004
Shots_By_OutComeGen_First,Serve_Lost,Frequency,6.0,Shots_By_OutComeGen_First | Serve_Lost,M004
Shots_By_OutComeGen_First,Serve_Rally,Frequency,18.0,Shots_By_OutComeGen_First | Serve_Rally,M004
Shots_By_OutComeGen_First,Serve_Won,Frequency,6.0,Shots_By_OutComeGen_First | Serve_Won,M004
Shots_By_OutComeGen_Second,Rally_Lost,Frequency,3.0,Shots_By_OutComeGen_Second | Rally_Lost,M004
Shots_By_OutComeGen_Second,Rally_Rally,Frequency,3.0,Shots_By_OutComeGen_Second | Rally_Rally,M004
Shots_By_OutComeGen_Second,Rally_Won,Frequency,3.0,Shots_By_OutComeGen_Second | Rally_Won,M004
Shots_By_OutComeGen_Second,Return_Lost,Frequency,3.0,Shots_By_OutComeGen_Second | Return_Lost,M004
Shots_By_OutComeGen_Second,Return_Won,Frequency,1.0,Shots_By_OutComeGen_Second | Return_Won,M004
Shots_By_OutComeGen_Second,Serve_Lost,Frequency,9.0,Shots_By_OutComeGen_Second | Serve_Lost,M004
Shots_By_OutComeGen_Second,Serve_Rally,Frequency,6.0,Shots_By_OutComeGen_Second | Serve_Rally,M004
Shots_By_OutComeGen_Second,Serve_Won,Frequency,1.0,Shots_By_OutComeGen_Second | Serve_Won,M004
Shots_By_OutComeGen_Deuce,Rally_Lost,Frequency,11.0,Shots_By_OutComeGen_Deuce | Rally_Lost,M004
Shots_By_OutComeGen_Deuce,Rally_Rally,Frequency,16.0,Shots_By_OutComeGen_Deuce | Rally_Rally,M004
Shots_By_OutComeGen_Deuce,Rally_Won,Frequency,1.0,Shots_By_OutComeGen_Deuce | Rally_Won,M004
Shots_By_OutComeGen_Deuce,Return_Lost,Frequency,13.0,Shots_By_OutComeGen_Deuce | Return_Lost,M004
Shots_By_OutComeGen_Deuce,Return_Rally,Frequency,2.0,Shots_By_OutComeGen_Deuce | Return_Rally,M004
Shots_By_OutComeGen_Deuce,Return_Won,Frequency,3.0,Shots_By_OutComeGen_Deuce | Return_Won,M004
Shots_By_OutComeGen_Deuce,Serve_Lost,Frequency,11.0,Shots_By_OutComeGen_Deuce | Serve_Lost,M004
Shots_By_OutComeGen_Deuce,Serve_Rally,Frequency,10.0,Shots_By_OutComeGen_Deuce | Serve_Rally,M004
Shots_By_OutComeGen_Deuce,Serve_Won,Frequency,4.0,Shots_By_OutComeGen_Deuce | Serve_Won,M004
Shots_By_OutComeGen_Adv,Rally_Lost,Frequency,10.0,Shots_By_OutComeGen_Adv | Rally_Lost,M004
Shots_By_OutComeGen_Adv,Rally_Rally,Frequency,23.0,Shots_By_OutComeGen_Adv | Rally_Rally,M004
Shots_By_OutComeGen_Adv,Rally_Won,Frequency,11.0,Shots_By_OutComeGen_Adv | Rally_Won,M004
Shots_By_OutComeGen_Adv,Return_Lost,Frequency,6.0,Shots_By_OutComeGen_Adv | Return_Lost,M004
Shots_By_OutComeGen_Adv,Return_Rally,Frequency,7.0,Shots_By_OutComeGen_Adv | Return_Rally,M004
Shots_By_OutComeGen_Adv,Return_Won,Frequency,2.0,Shots_By_OutComeGen_Adv | Return_Won,M004
Shots_By_OutComeGen_Adv,Serve_Lost,Frequency,4.0,Shots_By_OutComeGen_Adv | Serve_Lost,M004
Shots_By_OutComeGen_Adv,Serve_Rally,Frequency,14.0,Shots_By_OutComeGen_Adv | Serve_Rally,M004
Shots_By_OutComeGen_Adv,Serve_Won,Frequency,3.0,Shots_By_OutComeGen_Adv | Serve_Won,M004
Shots_By_OutComeGen_Deuce_First,Rally_Lost,Frequency,8.0,Shots_By_OutComeGen_Deuce_First | Rally_Lost,M004
Shots_By_OutComeGen_Deuce_First,Rally_Rally,Frequency,13.0,Shots_By_OutComeGen_Deuce_First | Rally_Rally,M004
Shots_By_OutComeGen_Deuce_First,Rally_Won,Frequency,1.0,Shots_By_OutComeGen_Deuce_First | Rally_Won,M004
Shots_By_OutComeGen_Deuce_First,Return_Lost,Frequency,11.0,Shots_By_OutComeGen_Deuce_First | Return_Lost,M004
Shots_By_OutComeGen_Deuce_First,Return_Rally,Frequency,2.0,Shots_By_OutComeGen_Deuce_First | Return_Rally,M004
Shots_By_OutComeGen_Deuce_First,Return_Won,Frequency,2.0,Shots_By_OutComeGen_Deuce_First | Return_Won,M004
Shots_By_OutComeGen_Deuce_First,Serve_Lost,Frequency,5.0,Shots_By_OutComeGen_Deuce_First | Serve_Lost,M004
Shots_By_OutComeGen_Deuce_First,Serve_Rally,Frequency,7.0,Shots_By_OutComeGen_Deuce_First | Serve_Rally,M004
Shots_By_OutComeGen_Deuce_First,Serve_Won,Frequency,3.0,Shots_By_OutComeGen_Deuce_First | Serve_Won,M004
Shots_By_OutComeGen_Deuce_Second,Rally_Lost,Frequency,3.0,Shots_By_OutComeGen_Deuce_Second | Rally_Lost,M004
Shots_By_OutComeGen_Deuce_Second,Rally_Rally,Frequency,3.0,Shots_By_OutComeGen_Deuce_Second | Rally_Rally,M004
Shots_By_OutComeGen_Deuce_Second,Return_Lost,Frequency,2.0,Shots_By_OutComeGen_Deuce_Second | Return_Lost,M004
Shots_By_OutComeGen_Deuce_Second,Return_Won,Frequency,1.0,Shots_By_OutComeGen_Deuce_Second | Return_Won,M004
Shots_By_OutComeGen_Deuce_Second,Serve_Lost,Frequency,6.0,Shots_By_OutComeGen_Deuce_Second | Serve_Lost,M004
Shots_By_OutComeGen_Deuce_Second,Serve_Rally,Frequency,3.0,Shots_By_OutComeGen_Deuce_Second | Serve_Rally,M004
Shots_By_OutComeGen_Deuce_Second,Serve_Won,Frequency,1.0,Shots_By_OutComeGen_Deuce_Second | Serve_Won,M004
Shots_By_OutComeGen_Adv_First,Rally_Lost,Frequency,10.0,Shots_By_OutComeGen_Adv_First | Rally_Lost,M004
Shots_By_OutComeGen_Adv_First,Rally_Rally,Frequency,23.0,Shots_By_OutComeGen_Adv_First | Rally_Rally,M004
Shots_By_OutComeGen_Adv_First,Rally_Won,Frequency,8.0,Shots_By_OutComeGen_Adv_First | Rally_Won,M004
Shots_By_OutComeGen_Adv_First,Return_Lost,Frequency,5.0,Shots_By_OutComeGen_Adv_First | Return_Lost,M004
Shots_By_OutComeGen_Adv_First,Return_Rally,Frequency,7.0,Shots_By_OutComeGen_Adv_First | Return_Rally,M004
Shots_By_OutComeGen_Adv_First,Return_Won,Frequency,2.0,Shots_By_OutComeGen_Adv_First | Return_Won,M004
Shots_By_OutComeGen_Adv_First,Serve_Lost,Frequency,1.0,Shots_By_OutComeGen_Adv_First | Serve_Lost,M004
Shots_By_OutComeGen_Adv_First,Serve_Rally,Frequency,11.0,Shots_By_OutComeGen_Adv_First | Serve_Rally,M004
Shots_By_OutComeGen_Adv_First,Serve_Won,Frequency,3.0,Shots_By_OutComeGen_Adv_First | Serve_Won,M004
Shots_By_OutComeGen_Adv_Second,Rally_Won,Frequency,3.0,Shots_By_OutComeGen_Adv_Second | Rally_Won,M004
Shots_By_OutComeGen_Adv_Second,Return_Lost,Frequency,1.0,Shots_By_OutComeGen_Adv_Second | Return_Lost,M004
Shots_By_OutComeGen_Adv_Second,Serve_Lost,Frequency,3.0,Shots_By_OutComeGen_Adv_Second | Serve_Lost,M004
Shots_By_OutComeGen_Adv_Second,Serve_Rally,Frequency,3.0,Shots_By_OutComeGen_Adv_Second | Serve_Rally,M004
Eval1_By_OutCome_Effective,Rally_Lost_thru_Mistake,Frequency,21.0,Eval1_By_OutCome_Effective | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective,Rally_Rally,Frequency,39.0,Eval1_By_OutCome_Effective | Rally_Rally,M004
Eval1_By_OutCome_Effective,Rally_Won_thru_Winner,Frequency,12.0,Eval1_By_OutCome_Effective | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective,Return_Lost_thru_Mistake,Frequency,19.0,Eval1_By_OutCome_Effective | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective,Return_Rally,Frequency,9.0,Eval1_By_OutCome_Effective | Return_Rally,M004
Eval1_By_OutCome_Effective,Return_Won_thru_Winner,Frequency,5.0,Eval1_By_OutCome_Effective | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective,Serve_Lost_thru_Mistake,Frequency,15.0,Eval1_By_OutCome_Effective | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective,Serve_Rally,Frequency,24.0,Eval1_By_OutCome_Effective | Serve_Rally,M004
Eval1_By_OutCome_Effective,Serve_Won_thru_Winner,Frequency,7.0,Eval1_By_OutCome_Effective | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_First,Rally_Lost_thru_Mistake,Frequency,18.0,Eval1_By_OutCome_Effective_First | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_First,Rally_Rally,Frequency,36.0,Eval1_By_OutCome_Effective_First | Rally_Rally,M004
Eval1_By_OutCome_Effective_First,Rally_Won_thru_Winner,Frequency,9.0,Eval1_By_OutCome_Effective_First | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_First,Return_Lost_thru_Mistake,Frequency,16.0,Eval1_By_OutCome_Effective_First | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_First,Return_Rally,Frequency,9.0,Eval1_By_OutCome_Effective_First | Return_Rally,M004
Eval1_By_OutCome_Effective_First,Return_Won_thru_Winner,Frequency,4.0,Eval1_By_OutCome_Effective_First | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_First,Serve_Lost_thru_Mistake,Frequency,6.0,Eval1_By_OutCome_Effective_First | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_First,Serve_Rally,Frequency,18.0,Eval1_By_OutCome_Effective_First | Serve_Rally,M004
Eval1_By_OutCome_Effective_First,Serve_Won_thru_Winner,Frequency,6.0,Eval1_By_OutCome_Effective_First | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Second,Rally_Lost_thru_Mistake,Frequency,3.0,Eval1_By_OutCome_Effective_Second | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Second,Rally_Rally,Frequency,3.0,Eval1_By_OutCome_Effective_Second | Rally_Rally,M004
Eval1_By_OutCome_Effective_Second,Rally_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Second | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Second,Return_Lost_thru_Mistake,Frequency,3.0,Eval1_By_OutCome_Effective_Second | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Second,Return_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Second | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Second,Serve_Lost_thru_Mistake,Frequency,9.0,Eval1_By_OutCome_Effective_Second | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Second,Serve_Rally,Frequency,6.0,Eval1_By_OutCome_Effective_Second | Serve_Rally,M004
Eval1_By_OutCome_Effective_Second,Serve_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Second | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce,Rally_Lost_thru_Mistake,Frequency,11.0,Eval1_By_OutCome_Effective_Deuce | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce,Rally_Rally,Frequency,16.0,Eval1_By_OutCome_Effective_Deuce | Rally_Rally,M004
Eval1_By_OutCome_Effective_Deuce,Rally_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Deuce | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce,Return_Lost_thru_Mistake,Frequency,13.0,Eval1_By_OutCome_Effective_Deuce | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce,Return_Rally,Frequency,2.0,Eval1_By_OutCome_Effective_Deuce | Return_Rally,M004
Eval1_By_OutCome_Effective_Deuce,Return_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Deuce | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce,Serve_Lost_thru_Mistake,Frequency,11.0,Eval1_By_OutCome_Effective_Deuce | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce,Serve_Rally,Frequency,10.0,Eval1_By_OutCome_Effective_Deuce | Serve_Rally,M004
Eval1_By_OutCome_Effective_Deuce,Serve_Won_thru_Winner,Frequency,4.0,Eval1_By_OutCome_Effective_Deuce | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv,Rally_Lost_thru_Mistake,Frequency,10.0,Eval1_By_OutCome_Effective_Adv | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv,Rally_Rally,Frequency,23.0,Eval1_By_OutCome_Effective_Adv | Rally_Rally,M004
Eval1_By_OutCome_Effective_Adv,Rally_Won_thru_Winner,Frequency,11.0,Eval1_By_OutCome_Effective_Adv | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv,Return_Lost_thru_Mistake,Frequency,6.0,Eval1_By_OutCome_Effective_Adv | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv,Return_Rally,Frequency,7.0,Eval1_By_OutCome_Effective_Adv | Return_Rally,M004
Eval1_By_OutCome_Effective_Adv,Return_Won_thru_Winner,Frequency,2.0,Eval1_By_OutCome_Effective_Adv | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv,Serve_Lost_thru_Mistake,Frequency,4.0,Eval1_By_OutCome_Effective_Adv | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv,Serve_Rally,Frequency,14.0,Eval1_By_OutCome_Effective_Adv | Serve_Rally,M004
Eval1_By_OutCome_Effective_Adv,Serve_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Adv | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce_First,Rally_Lost_thru_Mistake,Frequency,8.0,Eval1_By_OutCome_Effective_Deuce_First | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_First,Rally_Rally,Frequency,13.0,Eval1_By_OutCome_Effective_Deuce_First | Rally_Rally,M004
Eval1_By_OutCome_Effective_Deuce_First,Rally_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Deuce_First | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce_First,Return_Lost_thru_Mistake,Frequency,11.0,Eval1_By_OutCome_Effective_Deuce_First | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_First,Return_Rally,Frequency,2.0,Eval1_By_OutCome_Effective_Deuce_First | Return_Rally,M004
Eval1_By_OutCome_Effective_Deuce_First,Return_Won_thru_Winner,Frequency,2.0,Eval1_By_OutCome_Effective_Deuce_First | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce_First,Serve_Lost_thru_Mistake,Frequency,5.0,Eval1_By_OutCome_Effective_Deuce_First | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_First,Serve_Rally,Frequency,7.0,Eval1_By_OutCome_Effective_Deuce_First | Serve_Rally,M004
Eval1_By_OutCome_Effective_Deuce_First,Serve_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Deuce_First | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce_Second,Rally_Lost_thru_Mistake,Frequency,3.0,Eval1_By_OutCome_Effective_Deuce_Second | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_Second,Rally_Rally,Frequency,3.0,Eval1_By_OutCome_Effective_Deuce_Second | Rally_Rally,M004
Eval1_By_OutCome_Effective_Deuce_Second,Return_Lost_thru_Mistake,Frequency,2.0,Eval1_By_OutCome_Effective_Deuce_Second | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_Second,Return_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Deuce_Second | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Deuce_Second,Serve_Lost_thru_Mistake,Frequency,6.0,Eval1_By_OutCome_Effective_Deuce_Second | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Deuce_Second,Serve_Rally,Frequency,3.0,Eval1_By_OutCome_Effective_Deuce_Second | Serve_Rally,M004
Eval1_By_OutCome_Effective_Deuce_Second,Serve_Won_thru_Winner,Frequency,1.0,Eval1_By_OutCome_Effective_Deuce_Second | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv_First,Rally_Lost_thru_Mistake,Frequency,10.0,Eval1_By_OutCome_Effective_Adv_First | Rally_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv_First,Rally_Rally,Frequency,23.0,Eval1_By_OutCome_Effective_Adv_First | Rally_Rally,M004
Eval1_By_OutCome_Effective_Adv_First,Rally_Won_thru_Winner,Frequency,8.0,Eval1_By_OutCome_Effective_Adv_First | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv_First,Return_Lost_thru_Mistake,Frequency,5.0,Eval1_By_OutCome_Effective_Adv_First | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv_First,Return_Rally,Frequency,7.0,Eval1_By_OutCome_Effective_Adv_First | Return_Rally,M004
Eval1_By_OutCome_Effective_Adv_First,Return_Won_thru_Winner,Frequency,2.0,Eval1_By_OutCome_Effective_Adv_First | Return_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv_First,Serve_Lost_thru_Mistake,Frequency,1.0,Eval1_By_OutCome_Effective_Adv_First | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv_First,Serve_Rally,Frequency,11.0,Eval1_By_OutCome_Effective_Adv_First | Serve_Rally,M004
Eval1_By_OutCome_Effective_Adv_First,Serve_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Adv_First | Serve_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv_Second,Rally_Won_thru_Winner,Frequency,3.0,Eval1_By_OutCome_Effective_Adv_Second | Rally_Won_thru_Winner,M004
Eval1_By_OutCome_Effective_Adv_Second,Return_Lost_thru_Mistake,Frequency,1.0,Eval1_By_OutCome_Effective_Adv_Second | Return_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv_Second,Serve_Lost_thru_Mistake,Frequency,3.0,Eval1_By_OutCome_Effective_Adv_Second | Serve_Lost_thru_Mistake,M004
Eval1_By_OutCome_Effective_Adv_Second,Serve_Rally,Frequency,3.0,Eval1_By_OutCome_Effective_Adv_Second | Serve_Rally,M004
Effective_Score2_Shots,Effective_Score_BH,Frequency,21.0,Effective_Score2_Shots | Effective_Score_BH,M004
Effective_Score2_Shots,Effective_Score_FH,Frequency,85.0,Effective_Score2_Shots | Effective_Score_FH,M004
Effective_Score2_Shots,Effective_Score_Slice,Frequency,16.0,Effective_Score2_Shots | Effective_Score_Slice,M004
Effective_Score2_Shots,Effective_Score_Volley,Frequency,2.0,Effective_Score2_Shots | Effective_Score_Volley,M004
ShotsEval2_By_OutComeGen_Effective,BH_Lost,Frequency,6.0,ShotsEval2_By_OutComeGen_Effective | BH_Lost,M004
ShotsEval2_By_OutComeGen_Effective,BH_Rally,Frequency,14.0,ShotsEval2_By_OutComeGen_Effective | BH_Rally,M004
ShotsEval2_By_OutComeGen_Effective,BH_Won,Frequency,1.0,ShotsEval2_By_OutComeGen_Effective | BH_Won,M004
ShotsEval2_By_OutComeGen_Effective,FH_Lost,Frequency,21.0,ShotsEval2_By_OutComeGen_Effective | FH_Lost,M004
ShotsEval2_By_OutComeGen_Effective,FH_Rally,Frequency,50.0,ShotsEval2_By_OutComeGen_Effective | FH_Rally,M004
ShotsEval2_By_OutComeGen_Effective,FH_Won,Frequency,14.0,ShotsEval2_By_OutComeGen_Effective | FH_Won,M004
ShotsEval2_By_OutComeGen_Effective,Slice_Lost,Frequency,6.0,ShotsEval2_By_OutComeGen_Effective | Slice_Lost,M004
ShotsEval2_By_OutComeGen_Effective,Slice_Rally,Frequency,6.0,ShotsEval2_By_OutComeGen_Effective | Slice_Rally,M004
ShotsEval2_By_OutComeGen_Effective,Slice_Won,Frequency,4.0,ShotsEval2_By_OutComeGen_Effective | Slice_Won,M004
ShotsEval2_By_OutComeGen_Effective,Volley_Rally,Frequency,1.0,ShotsEval2_By_OutComeGen_Effective | Volley_Rally,M004
ShotsEval2_By_OutComeGen_Effective,Volley_Won,Frequency,1.0,ShotsEval2_By_OutComeGen_Effective | Volley_Won,M004
Eval2_By_OutCome_Effective,BH_Lost_thru_Mistake,Frequency,6.0,Eval2_By_OutCome_Effective | BH_Lost_thru_Mistake,M004
Eval2_By_OutCome_Effective,BH_Rally,Frequency,14.0,Eval2_By_OutCome_Effective | BH_Rally,M004
Eval2_By_OutCome_Effective,BH_Won_thru_Winner,Frequency,1.0,Eval2_By_OutCome_Effective | BH_Won_thru_Winner,M004
Eval2_By_OutCome_Effective,FH_Lost_thru_Mistake,Frequency,21.0,Eval2_By_OutCome_Effective | FH_Lost_thru_Mistake,M004
Eval2_By_OutCome_Effective,FH_Rally,Frequency,50.0,Eval2_By_OutCome_Effective | FH_Rally,M004
Eval2_By_OutCome_Effective,FH_Won_thru_Winner,Frequency,14.0,Eval2_By_OutCome_Effective | FH_Won_thru_Winner,M004
Eval2_By_OutCome_Effective,Slice_Lost_thru_Mistake,Frequency,6.0,Eval2_By_OutCome_Effective | Slice_Lost_thru_Mistake,M004
Eval2_By_OutCome_Effective,Slice_Rally,Frequency,6.0,Eval2_By_OutCome_Effective | Slice_Rally,M004
Eval2_By_OutCome_Effective,Slice_Won_thru_Winner,Frequency,4.0,Eval2_By_OutCome_Effective | Slice_Won_thru_Winner,M004
Eval2_By_OutCome_Effective,Volley_Rally,Frequency,1.0,Eval2_By_OutCome_Effective | Volley_Rally,M004
